n,seconds
749,0.0007675780
750,0.0007845300
751,0.0007928730
752,0.0007775070
753,0.0008056140
754,0.0007625680
755,0.0007397860
756,0.0007640620
757,0.0007979250
758,0.0007835980
759,0.0008235330
760,0.0008104490
761,0.0008057800
762,0.0008101680
763,0.0007815240
764,0.0008192350
765,0.0007772560
766,0.0007994380
767,0.0007862230
768,0.0007624590
769,0.0008018020
770,0.0008007800
771,0.0008662430
772,0.0007599230
773,0.0008301670
774,0.0008854790
775,0.0008138400
776,0.0007930560
777,0.0007888480
778,0.0008069920
779,0.0007986260
780,0.0008201170
781,0.0008055590
782,0.0007818350
783,0.0007937970
784,0.0007882170
785,0.0007920840
786,0.0008354350
787,0.0008044170
788,0.0007955100
789,0.0007846800
790,0.0007728070
791,0.0008358960
792,0.0008198560
793,0.0008733260
794,0.0008518210
795,0.0008100730
796,0.0008352340
797,0.0008139750
798,0.0008770840
799,0.0009022030
800,0.0008304260
801,0.0008557340
802,0.0008504330
803,0.0008530780
804,0.0008473980
805,0.0008228620
806,0.0008053790
807,0.0008357560
808,0.0008315080
809,0.0008728350
810,0.0008319790
811,0.0008508040
812,0.0009083320
813,0.0009201540
814,0.0008553420
815,0.0008868310
816,0.0009158060
817,0.0009156350
818,0.0008740490
819,0.0008923410
820,0.0008759000
821,0.0008400040
822,0.0008031450
823,0.0008381110
824,0.0008626960
825,0.0008231920
826,0.0008541210
827,0.0008433400
828,0.0008691690
829,0.0008790170
830,0.0008761820
831,0.0008864010
832,0.0008685670
833,0.0008858300
834,0.0008991790
835,0.0009035800
836,0.0008712120
837,0.0008377800
838,0.0008787470
839,0.0009017800
840,0.0008763310
841,0.0008769740
842,0.0009095540
843,0.0009230140
844,0.0008774940
845,0.0008621850
846,0.0009214670
847,0.0009808480
848,0.0008709420
849,0.0009268670
850,0.0009114170
851,0.0008450430
852,0.0009365750
853,0.0009983480
854,0.0009040530
855,0.0010065360
856,0.0009101860
857,0.0009629240
858,0.0010619090
859,0.0013611700
860,0.0010816770
861,0.0008634980
862,0.0008731760
863,0.0009195730
864,0.0009228890
865,0.0008824740
866,0.0009421750
867,0.0009151850
868,0.0008952770
869,0.0008532390
870,0.0009626350
871,0.0010881190
872,0.0008990600
873,0.0009144330
874,0.0008899670
875,0.0011108550
876,0.0009898750
877,0.0009748100
878,0.0011266510
879,0.0009798360
880,0.0009498900
881,0.0009915170
882,0.0009281990
883,0.0009371250
884,0.0009556010
885,0.0008925330
886,0.0009414140
887,0.0009282890
888,0.0009541380
889,0.0009225490
890,0.0008969510
891,0.0009599990
892,0.0009208860
893,0.0009433840
894,0.0009719310
895,0.0009777920
896,0.0009776820
897,0.0009415380
898,0.0009226570
899,0.0009210160
900,0.0009321770
901,0.0010225860
902,0.0009503600
903,0.0009650180
904,0.0009586160
905,0.0009398510
906,0.0009520340
907,0.0010154430
908,0.0010329550
909,0.0012701670
910,0.0013224110
911,0.0010386430
912,0.0010670690
913,0.0010599560
914,0.0010010200
915,0.0009566380
916,0.0010133790
917,0.0009766390
918,0.0009447500
919,0.0009953850
920,0.0009513430
921,0.0009935410
922,0.0009921690
923,0.0009971580
924,0.0009774620
925,0.0009775820
926,0.0010243190
927,0.0010762810
928,0.0010749100
929,0.0009659900
930,0.0009912810
931,0.0009714890
932,0.0009760490
933,0.0009890830
934,0.0009788910
935,0.0010087610
936,0.0009696570
937,0.0010214440
938,0.0009460830
939,0.0009915680
940,0.0010111740
941,0.0009869290
942,0.0009774110
943,0.0010358510
944,0.0010585670
945,0.0010594200
946,0.0010145480
947,0.0010932670
948,0.0010208440
949,0.0010189900
950,0.0010412700
951,0.0010333360
952,0.0010059050
953,0.0009649980
954,0.0009676630
955,0.0009838430
956,0.0010128480
957,0.0010264930
958,0.0010553370
959,0.0011099110
960,0.0009845850
961,0.0010427930
962,0.0011133960
963,0.0010105870
964,0.0010414510
965,0.0012256370
966,0.0010316230
967,0.0010652750
968,0.0010422930
969,0.0010143510
970,0.0010124870
971,0.0010492660
972,0.0009967380
973,0.0010064360
974,0.0010193800
975,0.0010094820
976,0.0010051330
977,0.0010033000
978,0.0010582830
979,0.0010070270
980,0.0010374590
981,0.0010972070
982,0.0010512490
983,0.0010671930
984,0.0010617690
985,0.0010314530
986,0.0010230870
987,0.0009976690
988,0.0010302400
989,0.0010323740
990,0.0010435450
991,0.0010346990
992,0.0010386060
993,0.0010355700
994,0.0010243890
995,0.0010623600
996,0.0010981380
997,0.0010706560
998,0.0011339060
999,0.0011424510
1000,0.0010431350
1001,0.0011207670
1002,0.0010586900
1003,0.0011227180
1004,0.0011142880
1005,0.0010907740
1006,0.0010723290
1007,0.0010561190
1008,0.0010662980
1009,0.0010691030
1010,0.0010450780
1011,0.0010896080
1012,0.0011137870
1013,0.0011329070
1014,0.0010900760
1015,0.0011443200
1016,0.0010720390
1017,0.0011652130
1018,0.0011029270
1019,0.0011183810
1020,0.0011143180
1021,0.0010919150
1022,0.0011156200
1023,0.0010418220
1024,0.0011325720
1025,0.0011501450
1026,0.0010969260
1027,0.0010946310
1028,0.0011425100
1029,0.0011605340
1030,0.0011089780
1031,0.0011744250
1032,0.0011237950
1033,0.0011628490
1034,0.0011176950
1035,0.0010938890
1036,0.0010922060
1037,0.0011302370
1038,0.0010840410
1039,0.0010963940
1040,0.0010525720
1041,0.0011037280
1042,0.0010734910
